asset_id,original_inventory_sector,min_start,max_end,inflated_extrap_emissions,baseline_emissions,inflated_over_baseline_pct
1566702,iron-and-steel,2022-07-01 00:00:00,2026-02-28 00:00:00,2246381.006005221,33593936.50849224,6.686864474597541
1566716,iron-and-steel,2022-07-01 00:00:00,2026-02-28 00:00:00,590986.2949775619,6032773.924223295,9.796261262245956
1566739,iron-and-steel,2022-07-01 00:00:00,2026-02-28 00:00:00,17894.927594773453,365545.64504298114,4.895401665274758
1566770,iron-and-steel,2021-01-01 00:00:00,2025-07-31 00:00:00,201747.2263784897,17272666.038860306,1.168014398730316
1566812,iron-and-steel,2023-07-01 00:00:00,2026-02-28 00:00:00,23434.598129321796,119459.64211793573,19.61716753360616
1566825,iron-and-steel,2021-01-01 00:00:00,2024-06-30 00:00:00,397966.98249336274,21242449.616028793,1.8734514601040695
1566871,iron-and-steel,2022-07-01 00:00:00,2026-02-28 00:00:00,75990.76461769117,1646215.7721139437,4.616087751371114
1566880,iron-and-steel,2022-07-01 00:00:00,2026-02-28 00:00:00,209875.00464282563,3141049.8603382595,6.681683321646611
1566887,iron-and-steel,2023-07-01 00:00:00,2026-02-28 00:00:00,362076.4432461766,1715045.8624977756,21.11176448184611
1566949,iron-and-steel,2021-01-01 00:00:00,2024-06-30 00:00:00,317682.5975425622,4669389.278937626,6.803514947351766
1566965,iron-and-steel,2021-01-01 00:00:00,2022-06-30 00:00:00,67581.79571774525,206672.29301257056,32.69997866314604
1567007,iron-and-steel,2023-07-01 00:00:00,2026-02-28 00:00:00,15201.202799551722,71857.77787885853,21.154568438198407
1567086,iron-and-steel,2022-07-01 00:00:00,2026-02-28 00:00:00,32676.544097593323,779035.4735522283,4.194487312444908
1567100,iron-and-steel,2024-07-01 00:00:00,2026-02-28 00:00:00,251642.87259003636,501969.16440008325,50.131141599261674
1567106,iron-and-steel,2021-01-01 00:00:00,2025-07-31 00:00:00,34041.3196038438,653475.2685730869,5.209274358335798
1567134,iron-and-steel,2022-07-01 00:00:00,2026-02-28 00:00:00,45025.48821029771,664356.5661313627,6.777307624501578
1567139,iron-and-steel,2022-07-01 00:00:00,2026-02-28 00:00:00,67197.2637653958,1563764.9835874788,4.297145956756021
1567145,iron-and-steel,2021-01-01 00:00:00,2023-11-30 00:00:00,1112611.7666970366,11003945.93647942,10.111025382345739
1567184,iron-and-steel,2021-01-01 00:00:00,2025-09-30 00:00:00,310941.73551040876,11397339.705374151,2.7281957329374977
1567187,iron-and-steel,2021-01-01 00:00:00,2025-07-31 00:00:00,165356.44418300886,4871108.580214978,3.39463679488974
1567189,iron-and-steel,2022-07-01 00:00:00,2026-02-28 00:00:00,79964.03991872625,642946.6414314568,12.437119158239051
1567193,iron-and-steel,2023-07-01 00:00:00,2026-02-28 00:00:00,26709.864867791708,143288.3403852363,18.640640819749322
1567201,iron-and-steel,2022-07-01 00:00:00,2026-02-28 00:00:00,170871.95598393626,2577276.255175154,6.629943361361688
1567203,iron-and-steel,2022-07-01 00:00:00,2026-02-28 00:00:00,112384.28095345844,2094033.2402255062,5.366881422634713
1567206,iron-and-steel,2023-07-01 00:00:00,2026-02-28 00:00:00,1758022.348065745,12706036.311770752,13.836119344607335
1567212,iron-and-steel,2024-07-01 00:00:00,2026-02-28 00:00:00,1785635.7003787733,3130809.2820409504,57.03431731283009
1567213,iron-and-steel,2023-07-01 00:00:00,2026-02-28 00:00:00,388881.19834675,3319047.6944851703,11.716649899093143
1567214,iron-and-steel,2023-07-01 00:00:00,2026-02-28 00:00:00,93292.66064784548,492152.01759164344,18.95606587256822
1567216,iron-and-steel,2023-07-01 00:00:00,2026-02-28 00:00:00,236468.97701592237,1440979.3353433101,16.410296193427655
1567217,iron-and-steel,2023-07-01 00:00:00,2026-02-28 00:00:00,1275869.8810147152,9602468.57455698,13.286894626193336
1567218,iron-and-steel,2022-07-01 00:00:00,2026-02-28 00:00:00,1240544.5351329586,14524756.709736466,8.540897172490173
1567219,iron-and-steel,2023-07-01 00:00:00,2026-02-28 00:00:00,1380838.5643315816,16082190.263282154,8.58613498364228
1567220,iron-and-steel,2023-07-01 00:00:00,2026-02-28 00:00:00,166548.92324341583,988992.3674356441,16.8402637600996
1567241,iron-and-steel,2023-07-01 00:00:00,2026-02-28 00:00:00,79584.62156148991,721912.8826396364,11.024130954761874
1567255,iron-and-steel,2021-01-01 00:00:00,2023-06-30 00:00:00,77877.39134243804,589498.9229021854,13.210777546299285
1567256,iron-and-steel,2021-01-01 00:00:00,2023-06-30 00:00:00,1208839.6880949081,7487065.94208668,16.145706441554314
1567257,iron-and-steel,2021-01-01 00:00:00,2023-06-30 00:00:00,1089834.6594914824,5061424.2754523065,21.532173557888328
1567263,iron-and-steel,2021-01-01 00:00:00,2023-06-30 00:00:00,1396369.0691579415,5101582.392563976,27.37129309512432
1567268,iron-and-steel,2021-01-01 00:00:00,2023-08-31 00:00:00,87400.45560253205,609908.0281699435,14.330104141239303
1567271,iron-and-steel,2021-01-01 00:00:00,2023-09-30 00:00:00,2268244.5714846295,10300055.056724077,22.021674243419458
1567273,iron-and-steel,2021-01-01 00:00:00,2025-07-31 00:00:00,9269.107935483127,551921.1300759488,1.6794261771075196
1567274,iron-and-steel,2021-01-01 00:00:00,2023-06-30 00:00:00,29707.0011460175,222637.43116761534,13.343219507258963
1567281,iron-and-steel,2021-01-01 00:00:00,2022-06-30 00:00:00,1707647.5094514077,4037818.005654717,42.29134416310869
1567282,iron-and-steel,2021-01-01 00:00:00,2022-06-30 00:00:00,103960.3556587962,242678.47601992814,42.83872116052815
1567285,iron-and-steel,2021-01-01 00:00:00,2022-06-30 00:00:00,2561911.070648806,5701393.264824908,44.934824728802205
1567286,iron-and-steel,2021-01-01 00:00:00,2022-06-30 00:00:00,2967960.645800015,6650801.082904375,44.62561139332586
1567290,iron-and-steel,2021-01-01 00:00:00,2025-07-31 00:00:00,141942.3855699636,10841180.57349919,1.3092890078497152
1567291,iron-and-steel,2021-01-01 00:00:00,2025-07-31 00:00:00,119313.42346257035,3071697.398003276,3.884283117865997
1567292,iron-and-steel,2021-01-01 00:00:00,2022-06-30 00:00:00,4722875.814766509,9615137.826287467,49.11916916941455
1567294,iron-and-steel,2021-01-01 00:00:00,2022-06-30 00:00:00,1621058.8006129155,4147349.513251229,39.0866213574105
1567295,iron-and-steel,2021-01-01 00:00:00,2022-10-31 00:00:00,1229992.5425536837,5264023.703324444,23.366014514275342
1567296,iron-and-steel,2021-01-01 00:00:00,2022-06-30 00:00:00,467066.92638022074,1620602.4632346057,28.82057364321098
1567297,iron-and-steel,2021-01-01 00:00:00,2022-06-30 00:00:00,2530284.9547855477,6250895.2153334785,40.47876132331807
1567299,iron-and-steel,2021-01-01 00:00:00,2022-07-31 00:00:00,1829052.3576526851,8665270.613813158,21.107850396928452
1567300,iron-and-steel,2021-01-01 00:00:00,2023-06-30 00:00:00,3595859.1068104175,15858772.470567817,22.67425876425144
1567301,iron-and-steel,2021-01-01 00:00:00,2022-06-30 00:00:00,557409.6240595866,1989301.3648820384,28.02037106593147
1567303,iron-and-steel,2021-01-01 00:00:00,2022-12-31 00:00:00,4394147.098439436,18568511.846336156,23.66450868439663
1567305,iron-and-steel,2021-01-01 00:00:00,2022-06-30 00:00:00,68103.30048554999,174700.3183675098,38.982928664322124
1567313,iron-and-steel,2021-01-01 00:00:00,2025-07-31 00:00:00,325242.83109492034,16872409.423866186,1.9276608510629265
1567317,iron-and-steel,2021-01-01 00:00:00,2022-06-30 00:00:00,2078470.743653137,6221024.269876846,33.41042653888061
1567318,iron-and-steel,2021-01-01 00:00:00,2022-06-30 00:00:00,1968258.1947264606,4079626.912839922,48.2460341785595
1567327,iron-and-steel,2021-01-01 00:00:00,2022-12-31 00:00:00,972054.3937108659,5521668.928350753,17.604358506898116
1929004,domestic-shipping,2022-10-01 00:00:00,2026-02-28 23:59:59,65.85362995122577,631.7986521441494,10.423198866875833
1929006,domestic-shipping,2023-03-01 00:00:00,2026-02-28 23:59:59,56.56762463081364,312.92759824789755,18.076904992573215
1929327,domestic-shipping,2023-12-01 00:00:00,2026-02-28 23:59:59,922.1840614590842,3304.7446049724385,27.904851106240784
1930766,domestic-shipping,2021-05-01 00:00:00,2026-02-28 23:59:59,67.8956484605477,2334.669806491201,2.908147793395622
1930922,domestic-shipping,2022-05-01 00:00:00,2026-02-28 23:59:59,1906.6787495486772,6912.672714906,27.58236688158619
1930924,domestic-shipping,2023-10-01 00:00:00,2026-02-28 23:59:59,16.872007213069793,477.11749022236125,3.5362374171625044
1930926,domestic-shipping,2022-03-01 00:00:00,2026-02-28 23:59:59,467.3128422260735,22753.771779616414,2.053781881756887
1931300,domestic-shipping,2022-01-01 00:00:00,2026-02-28 23:59:59,36.69878148055868,681.413413885442,5.3856852143988485
1931368,domestic-shipping,2023-02-01 00:00:00,2026-02-28 23:59:59,72.91930276909412,766.3740222638673,9.514845317132572
1932444,domestic-shipping,2025-02-01 00:00:00,2026-02-28 23:59:59,0.20083530069186956,317.1720213346041,0.06332062325257755
1932618,domestic-shipping,2022-04-01 00:00:00,2026-02-28 23:59:59,163.21005243653195,1909.2980043814305,8.548170692160145
1932980,domestic-shipping,2021-12-01 00:00:00,2026-02-28 23:59:59,807.5155063046295,6841.174202082528,11.80375594088531
1933174,domestic-shipping,2024-11-01 00:00:00,2026-02-28 23:59:59,0.3284078966111338,8.343448301429492,3.936117115448145
1933320,domestic-shipping,2024-07-01 00:00:00,2026-02-28 23:59:59,453.55804161787177,1223.9574833021393,37.056682752917894
1933484,domestic-shipping,2021-10-01 00:00:00,2026-02-28 23:59:59,9.54399324540186,1987.0583151668304,0.4803076574328197
1933545,domestic-shipping,2023-10-01 00:00:00,2026-02-28 23:59:59,1131.7204893490032,7429.869627989607,15.232036980643858
1933773,domestic-shipping,2022-07-01 00:00:00,2026-02-28 23:59:59,2.1436629782801906,17.58402020272593,12.190971993696147
1934230,domestic-shipping,2022-06-01 00:00:00,2026-02-28 23:59:59,26.248924762412152,172.20899079426792,15.242482196397532
1934409,domestic-shipping,2023-06-01 00:00:00,2026-02-28 23:59:59,156.60487944095507,1155.2413796065996,13.556030991054403
1963981,domestic-shipping,2022-03-01 00:00:00,2026-02-28 23:59:59,106.42878996385261,300.3074797032502,35.4399397807276
1968065,domestic-shipping,2022-11-01 00:00:00,2026-02-28 23:59:59,304.7954878943657,685.1634239397268,44.485078631573046
1969530,domestic-shipping,2021-08-01 00:00:00,2026-02-28 23:59:59,32.94494212086823,645.6167654943329,5.102863475926481
1971030,domestic-shipping,2023-01-01 00:00:00,2026-02-28 23:59:59,143.89864745418305,143.89864745418305,100
1974204,domestic-shipping,2024-08-01 00:00:00,2026-02-28 23:59:59,30.177466221678685,107.0040397278844,28.202174701460994
1978165,domestic-shipping,2021-10-01 00:00:00,2026-02-28 23:59:59,6.971885975165772,83.44769435046403,8.354797612364472
1981484,domestic-shipping,2025-02-01 00:00:00,2026-02-28 23:59:59,69.41004511403735,127.0251605709374,54.642753295537226
1989950,domestic-shipping,2023-09-01 00:00:00,2026-02-28 23:59:59,233.4893016963032,291.4186684075959,80.1216006414973
1998940,domestic-shipping,2022-05-01 00:00:00,2026-02-28 23:59:59,169.01086008396524,713.8872892351354,23.674726057252656
2000426,domestic-shipping,2023-10-01 00:00:00,2026-02-28 23:59:59,642.0112913449104,3346.8964271650707,19.182287391209016
2001596,domestic-shipping,2022-02-01 00:00:00,2026-02-28 23:59:59,2068.4479676522315,1034.2648519638108,199.99209716203399
